employee_id,department,seniority,manager_id,age,tenure_years,salary,salary_band_min,salary_band_max,performance_score,months_since_promotion,engagement_score,training_hours,attrition
35,HR,Mid,11.0,46,7.97,74311,47030,79217,10.0,64.0,3.3,4,0
36,Data,Senior,9.0,41,4.82,59371,44571,78172,0.0,18.0,6.1,0,0
37,Engineering,Junior,2.0,48,1.17,68467,39951,55226,6.0,8.0,4.2,3,0
38,Engineering,Junior,12.0,22,1.25,47625,40773,70036,9.0,26.0,6.9,11,0
39,Product,Senior,3.0,21,6.86,63893,46140,66739,4.0,33.0,3.2,59,0
40,Sales,Senior,3.0,56,4.3,40793,49921,71648,4.0,43.0,2.7,26,1
41,Engineering,Senior,1.0,46,2.01,61007,43057,64587,0.0,67.0,9.3,55,0
42,Sales,Mid,8.0,49,4.92,55766,42500,66749,8.0,99.0,1.9,41,0
43,Engineering,Mid,22.0,41,0.64,69532,45921,55645,6.0,81.0,5.6,22,0
44,HR,Senior,8.0,31,5.82,42323,41870,71299,7.0,14.0,3.0,24,0
45,Engineering,Mid,11.0,31,2.69,37843,34082,78928,8.0,50.0,1.4,20,1
46,Product,Senior,9.0,56,7.98,44210,43718,76953,5.0,12.0,1.3,57,0
47,Engineering,Senior,5.0,59,3.1,46456,40517,74374,4.0,82.0,2.6,51,0
48,Sales,Mid,14.0,55,4.55,61367,33754,68675,5.0,48.0,8.8,23,0
49,Sales,Senior,3.0,54,0.12,40106,31724,73888,10.0,69.0,3.5,24,0
50,Engineering,Senior,21.0,44,0.72,67957,31376,65964,1.0,55.0,9.6,44,0
51,HR,Junior,5.0,42,3.92,32472,38706,71087,3.0,75.0,6.2,54,0
52,Data,Senior,,25,4.8,36704,38894,68537,2.0,50.0,4.9,45,0
53,HR,Mid,19.0,53,6.0,33713,48037,68269,6.0,36.0,,31,0
54,HR,Senior,14.0,56,2.92,35051,48450,64346,8.0,16.0,5.7,54,0
55,Product,Mid,4.0,40,6.95,40756,46406,55587,4.0,,7.8,31,1
56,HR,Senior,13.0,39,8.6,32475,48844,67763,5.0,86.0,3.5,4,0
57,Engineering,Mid,10.0,55,7.8,66378,35926,64177,9.0,89.0,4.2,35,0
58,Engineering,Junior,18.0,37,0.4,34255,36251,59079,1.0,28.0,9.0,45,0
59,Engineering,Senior,8.0,54,4.81,44484,39496,58348,2.0,32.0,9.5,41,0
60,Engineering,Junior,8.0,29,1.05,64503,33300,77683,2.0,59.0,9.0,48,0
61,Sales,Mid,7.0,46,2.42,38258,38553,75215,8.0,90.0,4.8,41,0
62,Engineering,Senior,8.0,22,9.87,70747,33727,79765,6.0,88.0,8.0,57,0
63,Data,Senior,14.0,29,1.42,65196,46898,73099,7.0,54.0,5.3,38,0
64,Sales,Mid,19.0,29,4.99,70194,46832,65785,10.0,9.0,5.5,15,1
65,Engineering,Mid,6.0,37,6.18,38533,36019,67328,9.0,46.0,2.8,32,1
66,Sales,Mid,1.0,21,7.02,62581,45463,61450,10.0,22.0,6.3,48,0
67,Engineering,Junior,23.0,45,5.6,35249,40047,68230,8.0,84.0,2.7,20,1
68,Data,Mid,15.0,45,0.1,49201,41754,60433,5.0,20.0,4.0,8,1
69,Engineering,Mid,1.0,59,3.26,39686,32520,56098,3.0,12.0,8.7,5,0
70,HR,Senior,17.0,55,5.18,62007,33081,62096,0.0,32.0,2.9,50,0
71,Data,Senior,1.0,23,0.88,30661,31428,73710,7.0,23.0,1.6,44,0
72,Engineering,Senior,15.0,57,3.51,74843,33967,66439,6.0,10.0,1.6,34,1
73,Engineering,Junior,23.0,50,0.33,60137,36445,64087,1.0,16.0,9.5,38,0
74,Data,Mid,2.0,58,0.79,72828,44566,71021,7.0,67.0,5.6,21,1
75,Data,Junior,14.0,54,3.97,40526,44042,61416,4.0,46.0,4.7,40,0
76,Data,Mid,21.0,32,1.33,33374,41329,61980,6.0,24.0,8.3,53,0
77,Data,Mid,8.0,39,5.68,55592,32159,78147,3.0,93.0,,4,0
78,Engineering,Senior,8.0,57,6.89,58982,35132,73058,4.0,72.0,4.0,41,0
79,Sales,Mid,19.0,37,8.01,30207,48931,66101,7.0,20.0,7.2,22,1
80,Engineering,Junior,7.0,30,2.0,65433,49363,62950,0.0,83.0,7.9,16,0
81,HR,Junior,19.0,32,1.67,53197,44933,64122,0.0,82.0,6.9,11,0
82,Product,Senior,6.0,36,1.05,63400,40473,67576,3.0,82.0,2.4,22,0
83,Engineering,Mid,6.0,44,6.36,33083,49033,77433,2.0,11.0,8.9,15,0
84,Engineering,Junior,3.0,39,7.06,59328,40805,56089,9.0,36.0,5.9,2,0
85,Engineering,Junior,7.0,28,0.32,72891,33083,59578,1.0,41.0,3.5,29,0
86,Engineering,Mid,19.0,51,9.36,50103,47421,64127,2.0,16.0,4.8,56,0
87,Data,Junior,8.0,41,0.52,69891,43944,65487,10.0,47.0,1.3,21,1
88,Product,Senior,10.0,37,5.41,40754,49873,55155,10.0,27.0,2.2,8,0
89,HR,Mid,20.0,43,7.09,64447,37604,56958,10.0,40.0,7.9,28,0
90,Sales,Junior,15.0,57,8.71,45901,45379,65693,0.0,98.0,1.0,46,0
91,Engineering,Junior,15.0,36,7.14,63004,49018,61344,0.0,46.0,4.7,36,0
92,Data,Senior,1.0,26,8.02,37446,33983,60779,5.0,17.0,5.7,22,0
93,Data,Mid,20.0,28,3.39,67211,31778,77528,4.0,77.0,1.5,12,0
94,Product,Mid,7.0,45,8.15,59301,35110,76447,7.0,98.0,9.8,31,0
95,Data,Senior,4.0,38,0.8,56116,42087,58830,1.0,70.0,3.0,45,0
96,Sales,Senior,6.0,45,8.95,71323,47508,64046,3.0,12.0,3.7,51,0
97,Sales,Senior,1.0,32,5.48,48752,47081,64794,7.0,81.0,3.7,46,0
98,Sales,Senior,5.0,35,8.17,62376,32179,78043,5.0,12.0,3.1,47,0
99,Engineering,Mid,23.0,46,4.52,46669,39596,55441,0.0,99.0,1.0,22,0
100,Engineering,Junior,1.0,46,6.44,62916,35251,77424,3.0,30.0,7.6,44,0
101,Engineering,Senior,4.0,52,5.26,43395,39235,77309,0.0,1.0,9.7,16,0
102,Product,Mid,22.0,30,7.32,50421,48313,69478,1.0,15.0,3.0,54,1
103,Engineering,Mid,2.0,36,0.82,56342,44871,78742,4.0,8.0,7.0,39,0
104,Sales,Senior,10.0,27,0.6,34895,31013,59628,7.0,72.0,7.7,20,0
105,HR,Junior,5.0,37,2.47,41023,46610,61370,7.0,37.0,8.6,1,1
106,Engineering,Mid,10.0,43,1.6,40699,31828,64528,10.0,74.0,4.8,36,0
107,Sales,Junior,1.0,46,8.72,39715,37909,72332,2.0,53.0,3.7,5,0
108,Data,Mid,22.0,41,2.19,49169,35588,66565,10.0,55.0,3.9,43,1
109,Engineering,Junior,6.0,42,9.76,46163,43109,63179,3.0,85.0,7.4,17,0
110,Engineering,Junior,13.0,27,3.37,35782,32023,71013,9.0,96.0,8.4,29,0
111,Engineering,Junior,15.0,34,1.82,52641,44537,77499,10.0,99.0,2.6,21,0
112,Engineering,Mid,4.0,35,7.9,48792,35891,71843,5.0,86.0,4.3,53,0
113,HR,Mid,13.0,27,6.59,65585,31080,78952,10.0,44.0,9.1,32,1
114,Data,Mid,24.0,29,4.98,60682,35036,76030,10.0,33.0,8.3,29,1
115,Product,Senior,,28,5.55,48880,45379,55392,9.0,8.0,9.9,16,0
116,HR,Mid,24.0,43,7.19,68067,40822,67130,2.0,,7.8,42,0
117,Data,Junior,15.0,49,2.28,72685,32563,73171,1.0,7.0,4.5,31,0
118,Engineering,Senior,8.0,38,9.96,48073,33292,78758,5.0,6.0,6.3,41,1
119,HR,Junior,5.0,51,9.75,66035,33586,65449,10.0,35.0,6.9,50,0
120,Sales,Senior,15.0,50,6.5,67174,46087,72522,4.0,17.0,1.7,13,1
121,Data,Junior,,59,2.0,54837,46100,76125,9.0,2.0,5.9,57,1
122,HR,Senior,12.0,55,6.8,47826,36643,62418,4.0,27.0,7.4,9,0
123,Engineering,Junior,13.0,38,0.72,54981,33959,77746,9.0,69.0,2.5,46,0
124,Engineering,Senior,2.0,59,0.31,40382,41005,57454,4.0,43.0,8.0,59,0
125,Engineering,Mid,,37,2.58,34437,40775,75058,9.0,,6.3,50,0
126,Sales,Senior,19.0,34,4.63,35435,30161,72761,4.0,27.0,9.6,35,0
127,Data,Junior,4.0,51,8.68,54819,46029,70223,2.0,53.0,1.4,33,0
128,HR,Mid,4.0,44,7.27,66875,46977,61701,6.0,53.0,3.4,8,0
129,Engineering,Senior,11.0,55,7.43,61982,44226,57597,5.0,64.0,6.4,41,0
130,Sales,Mid,5.0,54,4.25,63328,41154,55141,3.0,99.0,,27,0
131,Sales,Mid,20.0,23,3.46,42329,42080,57659,1.0,20.0,7.4,10,0
132,Engineering,Mid,11.0,57,3.71,55169,33390,75980,8.0,98.0,7.8,13,1
133,Engineering,Mid,,46,9.88,51932,35997,64031,0.0,12.0,1.9,38,0
134,Engineering,Mid,8.0,43,0.4,64594,42693,70037,10.0,56.0,5.6,54,1
135,HR,Mid,6.0,59,8.67,41421,47047,68970,3.0,48.0,5.6,46,0
136,Engineering,Senior,6.0,35,5.79,37629,39324,60661,0.0,53.0,4.3,53,0
137,Sales,Junior,8.0,24,4.39,38325,30541,61142,5.0,9.0,9.4,18,1
138,Data,Junior,23.0,49,7.25,58495,35093,67109,3.0,52.0,8.4,53,0
139,Sales,Senior,15.0,42,4.87,61750,43428,77010,4.0,43.0,7.3,14,0
140,HR,Senior,14.0,45,8.73,59619,41166,63787,4.0,46.0,7.4,27,0
141,HR,Mid,11.0,33,9.01,70461,47251,65096,8.0,52.0,5.2,23,1
142,Engineering,Mid,12.0,38,4.22,38264,46063,63472,0.0,73.0,9.3,7,0
143,Sales,Junior,13.0,53,2.77,42686,40258,71807,1.0,45.0,7.3,42,0
144,Engineering,Junior,8.0,36,5.92,54226,46044,78383,5.0,12.0,7.6,8,0
145,Engineering,Mid,18.0,22,9.12,36721,35469,59249,4.0,36.0,8.8,46,0
146,Engineering,Mid,1.0,55,2.11,50609,36256,69949,10.0,23.0,3.5,32,0
147,Product,Mid,15.0,54,6.23,37373,40720,56750,6.0,1.0,8.3,32,0
148,Sales,Junior,8.0,50,6.32,68675,31169,76141,2.0,85.0,2.8,18,0
149,Engineering,Senior,11.0,33,7.33,58937,30830,73351,2.0,80.0,4.1,2,0
150,Engineering,Senior,12.0,33,1.32,35656,31651,59088,9.0,99.0,4.0,9,1
151,HR,Mid,12.0,38,7.16,38984,47520,75562,1.0,13.0,9.8,39,0
152,Engineering,Mid,4.0,52,9.09,59984,49194,79173,2.0,9.0,8.7,46,0
153,Engineering,Mid,16.0,52,1.8,38286,39518,70282,,34.0,7.3,41,0
154,Sales,Senior,4.0,55,2.38,35901,43258,74330,0.0,24.0,7.5,0,0
155,HR,Mid,5.0,59,9.71,61552,46184,64641,4.0,2.0,6.1,28,0
156,Engineering,Junior,24.0,49,1.81,55709,31019,76778,4.0,16.0,9.5,49,0
157,Product,Senior,5.0,49,8.54,61055,40028,79264,10.0,11.0,5.5,33,0
158,Data,Senior,8.0,36,4.92,67685,42448,60075,6.0,53.0,4.4,50,1
159,Engineering,Senior,10.0,30,2.47,38429,42485,65412,3.0,23.0,2.5,12,0
160,Data,Mid,17.0,50,8.71,44716,31283,70686,2.0,28.0,8.1,53,0
161,Sales,Mid,9.0,45,4.45,41138,47043,62230,0.0,42.0,7.6,0,0
162,Product,Mid,22.0,59,5.15,65298,48394,70432,7.0,24.0,4.5,33,0
163,Product,Senior,19.0,40,3.59,53429,31733,66002,2.0,99.0,1.2,28,0
164,Sales,Senior,14.0,25,5.93,35772,48509,68947,1.0,59.0,8.6,47,0
165,Engineering,Junior,8.0,21,1.64,65732,48555,68686,10.0,89.0,1.1,46,0
166,Data,Junior,9.0,50,3.91,69905,46230,72915,3.0,64.0,7.3,12,0
167,Engineering,Mid,22.0,23,9.69,47347,44472,68074,2.0,83.0,9.7,47,0
168,Engineering,Senior,11.0,34,2.58,46920,42889,74374,0.0,27.0,4.9,48,0
169,Engineering,Senior,23.0,50,6.57,61822,33471,78539,2.0,15.0,3.1,52,0
170,Product,Junior,1.0,24,3.25,70108,39028,59493,1.0,46.0,7.3,28,1
171,Product,Mid,14.0,38,7.73,53563,38329,72317,7.0,80.0,8.4,38,0
172,Engineering,Mid,5.0,57,1.31,37967,32097,56460,5.0,91.0,5.9,23,1
173,Sales,Senior,21.0,45,9.7,41871,44082,69140,8.0,57.0,9.7,25,0
174,Engineering,Senior,14.0,21,4.54,58763,43930,74107,7.0,75.0,1.5,16,0
175,Product,Senior,4.0,35,2.36,41916,40077,65704,9.0,,5.5,6,0
176,Engineering,Mid,22.0,29,0.73,38734,36397,71669,,52.0,7.5,12,1
177,Product,Mid,23.0,35,1.7,63613,32757,71648,4.0,41.0,8.8,4,1
178,Sales,Junior,1.0,44,5.2,58179,48284,61816,6.0,58.0,2.6,25,1
179,HR,Junior,22.0,24,3.37,65262,48994,66639,4.0,46.0,8.2,48,1
180,Engineering,Senior,23.0,32,8.29,42677,47833,69424,7.0,93.0,6.0,2,0
181,Engineering,Senior,19.0,57,4.31,48268,35017,68965,4.0,33.0,4.6,6,0
182,Engineering,Senior,8.0,57,2.49,42330,46370,73146,0.0,36.0,2.2,57,0
183,HR,Senior,15.0,26,6.17,50733,37999,66240,4.0,5.0,8.8,48,1
184,HR,Mid,21.0,59,7.07,67947,40195,55040,3.0,6.0,2.4,38,0
185,Engineering,Senior,15.0,44,1.67,57286,32096,60827,5.0,95.0,,52,0
186,Product,Senior,9.0,31,1.68,36610,45433,63259,2.0,95.0,3.6,0,0
187,Data,Senior,21.0,33,0.37,36430,40595,72371,10.0,24.0,8.8,48,0
188,Product,Junior,9.0,54,7.36,69922,45941,69849,4.0,32.0,7.1,16,0
189,Sales,Mid,10.0,45,6.64,43828,49715,71232,1.0,54.0,8.2,42,0
190,Engineering,Junior,20.0,27,4.75,72913,45078,62804,10.0,57.0,3.3,24,0
191,Engineering,Senior,21.0,24,8.44,61497,35105,79173,5.0,6.0,6.6,58,0
192,HR,Mid,9.0,28,8.06,69256,49362,77101,5.0,56.0,6.1,2,1
193,HR,Junior,3.0,40,5.85,66618,32839,74582,4.0,11.0,8.5,14,0
194,Product,Mid,20.0,49,8.68,56526,33384,60374,5.0,15.0,9.2,28,0
195,Engineering,Mid,11.0,30,2.06,60158,40851,76174,10.0,79.0,1.1,52,1
196,Engineering,Mid,6.0,54,1.12,55032,40053,78567,6.0,42.0,,42,0
197,Data,Junior,2.0,46,2.7,67846,43493,57524,4.0,99.0,1.5,31,0
198,HR,Mid,7.0,23,0.57,74936,47069,64277,0.0,76.0,,25,0
199,HR,Mid,18.0,26,5.31,59794,44139,73863,7.0,6.0,3.6,59,1
200,Data,Senior,2.0,25,9.37,35448,37531,64885,3.0,99.0,3.8,15,0
201,Product,Mid,17.0,25,0.39,58861,34283,76538,8.0,50.0,4.2,24,0
202,Engineering,Senior,11.0,43,1.22,58141,37736,55778,9.0,72.0,6.6,53,1
203,Engineering,Mid,12.0,29,4.52,39074,37710,56492,5.0,31.0,4.0,27,0
204,HR,Mid,19.0,55,9.34,36406,31619,72044,0.0,74.0,7.6,8,1
205,Product,Senior,22.0,40,3.16,61823,43975,72732,2.0,7.0,4.6,55,0
206,Engineering,Mid,24.0,55,5.07,53291,42835,68615,2.0,96.0,1.6,55,0
207,Engineering,Junior,7.0,38,0.42,71568,45261,67132,,,8.1,0,0
208,Product,Junior,20.0,37,1.48,62003,31431,65178,3.0,88.0,3.6,28,0
209,Engineering,Senior,,44,9.87,64406,39067,62851,5.0,71.0,4.9,56,0
210,Engineering,Mid,21.0,23,9.65,53312,34713,71288,6.0,44.0,7.2,21,0
211,Sales,Mid,24.0,52,0.05,73108,39557,62156,9.0,85.0,4.0,15,1
212,Product,Junior,1.0,55,9.52,31382,39435,57044,,58.0,1.5,40,0
213,Product,Junior,17.0,58,6.39,64171,34998,62368,,3.0,4.4,50,0
214,Engineering,Junior,11.0,33,8.68,71779,30162,74900,10.0,66.0,9.5,43,0
215,Data,Mid,22.0,45,4.55,33292,31974,68635,0.0,28.0,6.8,50,0
216,Engineering,Mid,,29,5.16,71779,49675,64168,7.0,28.0,,53,0
217,Engineering,Mid,21.0,24,4.89,63187,38461,75961,6.0,97.0,6.7,40,0
218,Data,Mid,17.0,34,6.67,42411,47015,72111,10.0,97.0,2.8,6,1
219,Product,Senior,7.0,57,1.4,67285,47289,66328,10.0,27.0,,13,1
220,Data,Mid,17.0,54,0.3,45422,32014,68319,8.0,,7.8,28,1
221,Product,Mid,20.0,31,3.08,72468,39833,78852,2.0,78.0,1.9,18,0
222,Product,Senior,9.0,23,7.05,62371,37896,55342,,86.0,3.5,18,0
223,Engineering,Mid,17.0,48,2.02,35693,30204,56447,0.0,43.0,3.5,1,0
224,Sales,Mid,20.0,49,6.73,63535,46965,61581,2.0,,4.9,40,1
225,Engineering,Senior,22.0,29,9.7,44818,39032,66851,4.0,3.0,9.8,44,0
226,Engineering,Senior,22.0,23,0.94,61238,35347,61317,10.0,89.0,1.6,14,0
227,HR,Junior,8.0,45,6.73,60874,32643,71910,1.0,8.0,5.7,2,0
228,Sales,Senior,17.0,54,4.44,56715,38017,65088,2.0,4.0,2.6,10,0
229,HR,Mid,7.0,32,8.68,57605,48681,67946,3.0,55.0,9.7,52,0
230,Product,Junior,1.0,29,1.77,64317,47258,78132,,95.0,2.0,45,0
231,Data,Mid,13.0,35,6.93,61174,35560,71789,2.0,83.0,4.6,29,1
232,Sales,Senior,23.0,45,8.38,39956,45892,69567,8.0,49.0,7.6,56,0
233,Product,Mid,19.0,25,9.45,68908,44531,69868,7.0,74.0,7.3,39,1
234,Sales,Mid,24.0,31,6.83,40837,47073,79370,3.0,,4.8,17,0
235,Engineering,Mid,19.0,54,4.97,33716,34000,64765,0.0,,4.1,50,0
236,Data,Junior,17.0,44,6.18,34481,44289,75124,0.0,27.0,4.6,47,0
237,Engineering,Junior,13.0,35,8.69,54282,47055,67466,0.0,21.0,3.4,1,0
238,Engineering,Junior,16.0,58,5.71,36548,37927,73230,0.0,16.0,2.8,31,0
239,Product,Junior,8.0,28,0.3,67605,45562,72862,7.0,,5.3,7,0
240,Engineering,Junior,19.0,25,9.31,37758,31171,65587,2.0,89.0,3.4,21,0
241,HR,Junior,18.0,46,6.9,73668,41918,55771,5.0,70.0,3.6,5,0
242,HR,Mid,1.0,38,6.77,53177,39135,76909,2.0,56.0,6.9,11,0
243,HR,Junior,14.0,26,2.16,54022,36342,71300,10.0,25.0,9.7,46,0
244,Sales,Mid,19.0,57,6.59,70761,47833,63770,4.0,24.0,6.4,56,0
245,Engineering,Senior,15.0,33,3.94,35542,41929,66093,6.0,9.0,1.7,39,0
246,HR,Mid,18.0,48,6.51,55476,32539,68803,1.0,44.0,1.7,35,0
247,Sales,Mid,2.0,25,1.07,60784,33959,55193,5.0,82.0,9.6,14,0
248,HR,Junior,22.0,33,6.58,52740,43183,57007,5.0,10.0,3.7,27,0
249,HR,Junior,17.0,37,9.99,54817,35432,72569,10.0,76.0,1.8,51,1
250,HR,Junior,18.0,52,0.48,46052,48745,73778,2.0,52.0,6.4,56,0
251,Engineering,Junior,6.0,49,9.77,65153,31753,66190,5.0,71.0,6.6,48,0
252,Sales,Junior,19.0,23,4.07,30671,48322,64984,9.0,67.0,6.8,44,0
253,HR,Junior,4.0,54,8.71,30163,40123,64302,9.0,94.0,3.4,17,0
254,Engineering,Junior,1.0,47,7.82,71424,46376,75389,4.0,27.0,1.1,1,0
255,Engineering,Junior,8.0,33,5.67,74002,36588,62429,1.0,74.0,9.7,12,0
256,Product,Mid,23.0,53,7.38,34795,36304,57261,8.0,64.0,3.3,44,0
257,HR,Junior,7.0,26,8.79,40634,37345,75120,7.0,48.0,7.1,53,0
258,Product,Mid,3.0,44,4.04,34798,45352,61716,2.0,46.0,7.4,14,0
259,Product,Mid,10.0,39,3.27,52420,30597,76259,7.0,51.0,6.5,19,0
260,Engineering,Mid,10.0,36,6.68,59300,49446,63921,8.0,87.0,3.8,28,0
261,Product,Junior,19.0,48,8.08,54345,32336,59378,2.0,53.0,3.4,58,0
262,HR,Senior,14.0,53,7.62,40749,39879,62815,2.0,59.0,6.4,41,0
263,Engineering,Mid,2.0,33,7.98,68595,30572,68778,1.0,56.0,8.8,28,0
264,Sales,Junior,1.0,45,4.36,55121,37521,74835,7.0,46.0,9.5,2,0
265,HR,Senior,23.0,56,8.18,67487,36171,79000,9.0,30.0,2.0,18,0
266,Data,Senior,23.0,47,1.2,58411,48474,67728,0.0,45.0,2.4,2,0
267,Product,Junior,18.0,58,5.44,63361,43992,65332,7.0,25.0,,53,0
268,Data,Junior,7.0,27,0.06,51223,41861,64836,6.0,4.0,7.6,13,0
269,Sales,Senior,8.0,25,3.25,37394,42464,57800,6.0,83.0,8.9,39,1
270,Engineering,Mid,1.0,51,3.66,44056,31633,63333,2.0,51.0,2.8,58,0
271,Data,Junior,23.0,43,3.96,58380,47901,60410,,74.0,6.3,54,0
272,Data,Junior,3.0,30,6.95,56035,42485,72839,3.0,53.0,7.3,3,0
273,HR,Mid,24.0,52,3.89,60620,40849,78276,8.0,32.0,7.1,58,0
274,HR,Mid,23.0,50,4.49,49877,33648,60808,4.0,49.0,,59,0
275,Sales,Mid,8.0,59,2.38,73404,45177,61796,0.0,37.0,1.1,51,0
276,Sales,Mid,22.0,51,3.73,60911,43140,76180,4.0,26.0,6.2,10,0
277,Data,Mid,15.0,38,2.27,62784,47921,76477,7.0,97.0,3.3,57,1
278,Product,Mid,5.0,56,0.73,33191,44357,65288,7.0,14.0,,30,0
279,Data,Junior,3.0,22,6.03,63160,43368,72709,4.0,95.0,9.6,42,0
280,Data,Junior,19.0,34,6.68,55000,33137,76360,8.0,60.0,4.6,31,1
281,HR,Mid,1.0,33,6.19,69040,30097,72543,0.0,20.0,8.6,26,0
282,Engineering,Senior,15.0,49,4.63,33631,41407,59650,3.0,45.0,2.7,29,1
283,Sales,Mid,8.0,32,3.8,36172,42722,59987,2.0,68.0,7.1,42,0
284,Engineering,Mid,2.0,59,8.63,72080,42924,70200,1.0,5.0,9.8,1,0
285,Product,Junior,3.0,22,5.19,53561,33750,59697,7.0,37.0,1.9,48,0
286,Engineering,Mid,24.0,52,4.79,54817,38535,71724,6.0,61.0,1.1,8,0
287,Sales,Mid,14.0,33,0.26,50281,34666,58828,8.0,85.0,4.9,27,0
288,Sales,Junior,,47,3.41,58671,46009,73352,1.0,61.0,1.8,30,0
289,Engineering,Junior,14.0,37,3.8,55364,46994,72087,3.0,81.0,7.7,59,0
290,Product,Mid,11.0,51,3.99,71674,31727,67605,,77.0,9.2,33,0
291,Engineering,Junior,16.0,54,5.8,57425,31854,60482,,73.0,,55,1
292,Engineering,Mid,4.0,44,5.34,58602,40800,77760,2.0,45.0,3.3,14,0
293,Data,Junior,20.0,55,6.08,53253,35055,73184,7.0,12.0,4.9,47,0
294,Sales,Mid,5.0,26,7.65,53472,40271,60463,2.0,94.0,7.5,24,0
295,Engineering,Junior,22.0,39,8.13,38080,48708,68860,1.0,93.0,1.1,35,0
296,Sales,Senior,21.0,50,7.18,37099,42819,59912,2.0,2.0,6.3,7,0
297,Data,Mid,14.0,27,9.56,55431,39369,59648,10.0,93.0,,8,0
298,Engineering,Mid,23.0,30,0.18,61186,39283,55855,5.0,5.0,6.7,57,0
299,Product,Senior,16.0,52,1.96,60111,43171,57866,1.0,92.0,3.2,57,0
300,Engineering,Mid,18.0,54,0.08,69851,35774,66834,7.0,7.0,7.4,36,0
301,Engineering,Junior,7.0,48,6.47,52614,36519,71294,0.0,43.0,1.8,47,0
302,Sales,Mid,10.0,35,8.98,56724,40983,71566,6.0,32.0,2.8,44,0
303,Sales,Mid,7.0,50,2.43,71991,48133,58112,1.0,80.0,8.9,38,0
304,Product,Mid,1.0,57,9.27,34940,44939,77054,9.0,74.0,7.6,31,1
305,Data,Mid,23.0,49,0.6,58758,30781,59492,,76.0,1.1,57,0
306,HR,Junior,21.0,42,9.34,66224,46282,77207,,49.0,3.2,51,1
307,Sales,Junior,19.0,24,3.52,37788,36823,70114,1.0,10.0,2.9,16,0
308,Engineering,Mid,16.0,40,1.01,58082,48489,56517,9.0,,3.4,34,0
309,Data,Mid,19.0,52,4.86,54034,37193,71018,7.0,27.0,3.2,36,0
310,Engineering,Mid,4.0,56,2.57,65479,32113,76386,1.0,69.0,1.6,18,1
311,Sales,Mid,18.0,24,2.85,41280,46280,72740,6.0,40.0,5.1,43,0
